n_components,variance_explained,accuracy,f1_weighted,roc_auc
10,0.4069717612818536,0.8490566037735849,0.8451982448120242,0.9574452067670518
20,0.5838919866782504,0.8505905813775119,0.8462059883820352,0.9590106607591091
30,0.7452454169909537,0.8489032060131922,0.8447989863246047,0.9583096414839408
40,0.8834467868712925,0.8554993097100783,0.8510695540065057,0.961046566273037
50,0.9686323897643571,0.8662371529375671,0.8622412017644591,0.9655411963784174
65,1.0,0.8686915171038503,0.8650582194669093,0.9683555080225714
