Model,Accuracy,F1 Score,Precision,Recall,ROC-AUC
LightGBM,0.8883264304341156,0.8863002802729294,0.8885410634412756,0.8883264304341156,0.9772809497100552
XGBoost,0.8863322595490106,0.8840695176597936,0.886485331450327,0.8863322595490106,0.9772954943572663
Random Forest,0.8774351894462341,0.8720512790013163,0.8824076050158697,0.8774351894462341,0.9722447206666265
Decision Tree,0.8760546096026998,0.8744309384490944,0.8763903203338862,0.8760546096026998,0.9679095651375578
